gene_symbol,control_1,control_2,control_3
AARS,35.89,34.91,46.45
ABCF1,311.71,423.09,316.56
ABL1,27.9,17.98,35.75
ACAA1,41.53,42.33,41.8
ACAT2,44.55,44.91,34.16
ACLY,114.06,106.33,156.96
ADAM10,108.91,47.19,99.99
ADH5,36.91,31.23,61.27
PARP1,193.18,179.05,175.47
ADRB2,33.82,30.03,31.01
AGL,207.21,263.76,152.37
AKT1,22.19,24.56,34.76
ALAS1,34.07,21.91,37.61
ALDOA,236.28,331.25,487.73
ALDOC,9.37,6.0,8.37
SLC25A4,15.93,31.56,23.66
ANXA7,95.32,108.33,77.88
APBB2,303.89,368.54,294.4
BIRC2,78.34,115.13,102.0
BIRC5,96.91,248.92,104.51
APOE,75.95,99.17,116.68
APP,28.99,21.47,16.5
FAS,205.08,207.14,160.4
RHOA,211.78,98.11,145.58
ARHGAP1,198.06,198.39,133.48
ASAH1,237.62,257.17,310.96
ATF1,343.6,354.51,245.0
ATP1B1,61.44,36.76,109.96
ALDH7A1,27.8,21.59,61.49
ATP6V0B,1583.66,1434.04,1474.72
BAD,74.4,77.24,44.83
BAX,472.68,407.77,567.99
CCND1,63.02,64.58,80.97
BCL2,149.55,65.59,102.89
BDH1,135.97,176.69,181.54
BID,153.55,90.57,112.96
BLMH,501.91,363.09,457.6
BLVRA,21.27,23.5,18.47
BMP4,179.25,204.79,207.76
BNIP3,122.12,99.35,110.36
BNIP3L,143.45,122.98,116.86
BPHL,199.69,256.62,173.83
BRCA1,82.7,81.35,68.2
BTK,23.88,33.1,20.57
BUB1B,62.37,51.78,55.26
C5,111.77,194.36,159.73
DDR1,213.76,252.56,184.91
CALM3,136.84,105.12,95.47
CALU,506.64,575.7,623.64
CAPN1,326.24,312.3,164.55
CAST,26.05,43.68,40.45
CASP2,57.76,78.09,70.12
CASP3,493.6,552.01,555.51
CASP7,75.84,89.72,71.48
CASP10,50.47,44.92,36.85
CAT,783.73,794.95,845.32
CBLB,109.43,79.78,71.98
CBR1,83.63,74.92,75.17
CBR3,169.52,246.9,240.11
CCNA2,51.57,56.37,35.06
CCNB1,136.16,113.19,149.98
CCND3,10.99,15.42,16.18
CCNF,552.91,354.07,291.38
CCNH,157.85,192.29,232.18
SCARB1,485.62,302.98,428.39
CD40,78.78,68.83,59.05
CD44,18.66,29.13,34.74
CD58,61.33,106.02,70.22
ADGRE5,51.8,36.75,39.18
CDK1,85.81,73.3,135.47
CDC20,1158.31,993.11,933.01
CDC25A,36.84,53.49,47.23
CDC25B,187.35,93.02,127.96
CDC42,48.11,53.71,41.02
CDH3,1687.84,2697.74,2111.42
CDK2,201.83,202.7,157.89
CDK4,69.63,56.64,69.11
CDK6,42.02,41.41,32.09
CDK7,59.35,77.11,75.83
CDKN1A,36.93,21.61,48.55
CDKN1B,398.1,352.48,414.51
CDKN2A,86.58,68.35,95.15
CEBPA,43.69,61.37,83.45
CEBPD,22.39,12.58,12.03
CENPE,27.41,43.54,35.85
CETN3,33.67,22.55,18.43
CHEK1,19.28,15.27,12.24
CHN1,256.48,271.2,293.02
CIRBP,400.18,295.41,308.51
CLTB,216.04,176.03,195.3
CLTC,29.33,27.25,22.0
COL1A1,19.94,24.97,25.76
COL4A1,209.73,162.66,94.56
CREB1,106.89,118.8,126.65
CRK,51.68,61.93,35.83
