gene_symbol,treated_1,treated_2,treated_3
AARS,89.07,84.62,74.14
ABCF1,652.91,449.19,442.37
ABL1,22.43,23.72,34.06
ACAA1,173.13,156.41,109.99
ACAT2,89.07,60.4,68.79
ACLY,39.96,39.6,36.46
ADAM10,28.19,39.67,28.61
ADH5,20.76,11.79,10.09
PARP1,155.18,120.78,96.7
ADRB2,40.81,66.28,37.65
AGL,570.85,539.98,669.82
AKT1,11.39,10.4,10.94
ALAS1,88.12,67.16,110.37
ALDOA,119.27,166.12,225.49
ALDOC,7.47,5.73,7.0
SLC25A4,51.49,74.33,92.77
ANXA7,61.79,81.85,44.42
APBB2,1823.4,2160.2,1261.01
BIRC2,19.4,21.69,15.0
BIRC5,61.85,61.7,55.57
APOE,216.74,336.77,238.69
APP,34.73,35.84,46.28
FAS,108.33,103.49,162.38
RHOA,16.48,26.35,14.62
ARHGAP1,313.46,327.54,238.32
ASAH1,99.02,73.98,128.97
ATF1,68.38,74.14,70.56
ATP1B1,9.27,8.75,10.92
ALDH7A1,40.0,48.32,50.56
ATP6V0B,1543.66,1542.83,1401.03
BAD,198.01,109.18,209.31
BAX,1586.48,1445.21,1572.51
CCND1,40.45,35.75,25.18
BCL2,54.41,75.3,50.43
BDH1,77.28,121.9,122.1
BID,344.93,371.41,351.68
BLMH,138.59,93.87,139.25
BLVRA,8.49,8.53,11.12
BMP4,300.06,286.55,374.05
BNIP3,59.86,51.43,63.63
BNIP3L,57.99,52.51,56.28
BPHL,265.17,189.18,328.87
BRCA1,42.47,35.14,42.29
BTK,136.74,164.9,103.28
BUB1B,159.21,151.19,192.95
C5,417.82,385.78,576.84
DDR1,251.75,348.08,279.73
CALM3,211.1,222.01,142.2
CALU,252.99,200.3,222.58
CAPN1,1597.94,2448.61,2441.55
CAST,32.32,74.84,69.4
CASP2,101.86,97.16,105.79
CASP3,1529.62,2210.92,1480.75
CASP7,47.73,39.09,38.29
CASP10,132.7,246.77,88.88
CAT,920.29,1146.97,2102.18
CBLB,79.72,75.71,60.55
CBR1,206.58,139.34,237.22
CBR3,109.77,139.03,60.4
CCNA2,13.22,19.91,12.13
CCNB1,121.04,84.08,193.19
CCND3,13.16,13.71,11.51
CCNF,497.38,530.04,465.76
CCNH,252.91,240.87,220.29
SCARB1,1055.92,870.36,874.51
CD40,221.83,281.84,124.98
CD44,7.61,8.33,5.75
CD58,55.31,50.27,91.07
